 time step =            1 ;
  0.126631E+00;  0.158286E+00;  0.201340E+00;  0.157439E+00;  0.115676E+00;  0.109083E+00;  0.115699E+00;  0.157994E+00;  0.205101E+00;  0.164907E+00;
  0.116241E+00;  0.134481E+00;  0.157440E+00;  0.134303E+00;  0.112283E+00;  0.108807E+00;  0.112306E+00;  0.134480E+00;  0.157886E+00;  0.134904E+00;
  0.110164E+00;  0.112328E+00;  0.115676E+00;  0.112283E+00;  0.109053E+00;  0.108566E+00;  0.109607E+00;  0.116065E+00;  0.122850E+00;  0.116090E+00;
  0.112349E+00;  0.108961E+00;  0.109084E+00;  0.108806E+00;  0.108545E+00;  0.108655E+00;  0.112304E+00;  0.134457E+00;  0.157730E+00;  0.134459E+00;
  0.116230E+00;  0.112575E+00;  0.115679E+00;  0.112283E+00;  0.109056E+00;  0.108813E+00;  0.115673E+00;  0.157439E+00;  0.201316E+00;  0.157465E+00;
  0.116218E+00;  0.134480E+00;  0.157440E+00;  0.134303E+00;  0.112283E+00;  0.108806E+00;  0.112284E+00;  0.134326E+00;  0.157593E+00;  0.134750E+00;
  0.120011E+00;  0.158016E+00;  0.201337E+00;  0.157439E+00;  0.115673E+00;  0.108813E+00;  0.109079E+00;  0.112837E+00;  0.119463E+00;  0.119750E+00;
  0.138154E+00;  0.138243E+00;  0.157884E+00;  0.134459E+00;  0.112304E+00;  0.108656E+00;  0.108699E+00;  0.112589E+00;  0.134890E+00;  0.157901E+00;
  0.159102E+00;  0.123262E+00;  0.123140E+00;  0.116068E+00;  0.109607E+00;  0.108569E+00;  0.109346E+00;  0.119458E+00;  0.164616E+00;  0.205141E+00;
 time step =            6 ;
  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;
  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;
  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;
  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;
  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;
  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;
  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;
  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;
  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;
  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;  0.108498E+00;
 time step =            7 ;
